verb,beherrschen,savladati,,
ad,ursprünglich,izvorno,,
phrase,bei Weitem,nadaleko,,
noun,der,Einzelfall,Einzelfälle,jedini slucaj
noun,die,Angabe,Angaben,podatak
verb,bedrohen,prijetiti,,
noun,das,Urteil,Urteile,presuda
noun,das,Volk,Völker,narod
verb,beschließen,odluciti,,
verb,vererben,ostaviti kao naslijede,,
verb,vermitteln,posredovati,,
verb,belegen,zauzeti,,
ad,lebendig,ziv;zivahan,,
noun,der,Organismus,Organismen,organizam
verb,verdrängen,potisnuti,,
verb,verschwinden,nestati,,
verb,erkennen,prepoznati,,
noun,das,Mittelalter,,srednji vijek
noun,der,Klang,Klänge,zvuk
verb,ersetzen,zamijeniti,,
ad,ungekehrt,obrnutno,,
ad,überwiegend,pretezno,,
noun,der,Beleg,Belege,dokaz
pron,jeweilig,dotican,,
noun,die,Uberträgung,Übertragungen,prenosenje
noun,der,Gedanke,Gedanken,misao;ideja
noun,der,Ausdruck,Ausdrücke,izraz
noun,der,Verlust,Verluste,gubitak
verb,übertragen,prenijeti,,
noun,die,Hütte,Hütten,koliba
ad,nebenbei,osim toga;uz to,,
verb,erben,naslijediti,,
verb,gelingen,uspjeti,,
noun,die,Neugier,,radoznalost
verb,aus|wiegen,izmjeriti;izvagati,,
verb,begleiten,pratiti,,
noun,die,Handlung,Handlungen,radnja
verb,übertreiben,pretjerati,,
ad,glaubwürdig,vjerodostojan,,
noun,der,Zufall,Zufälle,slucajnost
verb,dar|stellen,predstaviti,,
verb,reifen,sazrijeti,,
verb,leiden,trpiti;patiti,,
noun,der,Flügel,Flügel,krilo
verb,verschwinden,nestati,,
noun,die,Ritze,Ritzen,uska pukotina;udubina
verb,glänzen,sjajiti se;sjati;blistati,,
verb,an|lehnen,nasloniti,,
verb,aus|strecken,ispruziti,,
noun,die,Fliese,Fliesen,plocica
verb,schleichen,suljati se,,
verb,weisen,pokazati;uputiti,,
noun,das,Gemälde,Gemälde,slika;umjetnina
verb,ergreifen,uhvatiti;dohvatiti,,
noun,die,Empfindung,Empfindungen,osjecaj
verb,empfinden,osjecati,,
ad,seltsam,cudan;neobican,,
verb,beseelen,nadahnuti;ozivjeti;potaci,,
noun,der,Geist,Geister,duh
verb,um|gehen,ici okolo;obilaziti;kruziti,,
noun,der,Abdruck,Abdrücke,otisak
noun,die,Schicht,Schichten,smjena;sloj;naslaga
verb,bedecken,pokriti;prekriti,,
verb,begreifen,shvatiti,,
noun,der,Geruch,Gerüche,miris
noun,die,Pfeife,Pfeifen,lula;zvizdaljka
verb,warnen,upozoriti,,
verb,weg|kommen,pobjeci,,
verb,rauschen,sumiti,,
ad,ewig,vjecno,,
ad,rücksichtsvoll,obziran,,
verb,altern,stariti,,
ad,zurückhaltend,suzdrzan,,
ad,fürsorglich,zabrinut,,
verb,auf|treten,nastupati,,
noun,der,Gürtel,Gürtel,pojas;remen
verb,nagen,glodati,,
noun,der,Groll,,ljutnja;bijes
noun,die,Wende,Wenden,promjena;obrat;okret
ad,ehemalig,nekadasnji;bivsi,,
noun,der,Einfall,Einfälle,dosjetka;ideja
noun,der,Vertreter,Vertreter,zastupnik
verb,vertreten,zastupati,,
noun,die,Gegenwart,,sadasnjost
noun,die,Summe,Summen,suma;zbroj
noun,der,Tropfen,Tropfen,kap
verb,berühren,dodirnuti;dotaci,,
verb,hinaus|tragen,iznositi;iznijeti;pronositi,,
verb,bezeichnen,oznaciti,,
ad,gegenständlich,realan;stvaran;konkretan,,
noun,die,Botschaft,Botschaften,poruka;ambasada
ad,prominent,ugledan,,
noun,das,Element,Elemente,element
ad,zumeist,uglavnom,,
noun,das,Werk,Werke,djelo
verb,erstarren,smrznuti se;ukociti se,,
verb,zwingen,prisiliti,,
verb,betrachten,promatrati,,
noun,der,Betrachter,Betrachter,promatrac
verb,wahr|nehmen,opaziti,,
